clip_id,condition,model_name,predicted_intent,is_valid,prompt_tokens,completion_tokens
0,noisy,google/gemini-2.5-pro,alarm_set,True,374,3
100,noisy,google/gemini-2.5-pro,weather_query,True,371,3
10016,noisy,google/gemini-2.5-pro,cooking_recipe,True,374,3
10019,noisy,google/gemini-2.5-pro,cooking_recipe,True,375,3
10023,noisy,google/gemini-2.5-pro,cooking_recipe,True,372,3
10027,noisy,google/gemini-2.5-pro,game,True,368,1
10031,noisy,google/gemini-2.5-pro,cooking_recipe,True,375,3
10038,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10045,noisy,google/gemini-2.5-pro,cooking_recipe,True,374,3
10048,noisy,google/gemini-2.5-pro,query,True,368,1
10049,noisy,google/gemini-2.5-pro,cooking_recipe,True,372,3
10053,noisy,google/gemini-2.5-pro,cooking_recipe,True,368,3
10055,noisy,google/gemini-2.5-pro,cooking_recipe,True,370,3
10061,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
1007,noisy,google/gemini-2.5-pro,play_music,True,369,3
10072,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10076,noisy,google/gemini-2.5-pro,cooking_recipe,True,371,3
10077,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10078,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10080,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10081,noisy,google/gemini-2.5-pro,cooking_recipe,True,368,3
10090,noisy,google/gemini-2.5-pro,cooking_recipe,True,370,3
10093,noisy,google/gemini-2.5-pro,cooking_recipe,True,367,3
10097,noisy,google/gemini-2.5-pro,takeaway_order,True,369,4
10099,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10100,noisy,google/gemini-2.5-pro,cooking_recipe,True,370,3
10105,noisy,google/gemini-2.5-pro,cooking_recipe,True,374,3
10107,noisy,google/gemini-2.5-pro,cooking_recipe,True,372,3
10119,noisy,google/gemini-2.5-pro,cooking_recipe,True,374,3
10125,noisy,google/gemini-2.5-pro,qa_definition,True,371,3
10132,noisy,google/gemini-2.5-pro,cooking_recipe,True,373,3
1014,noisy,google/gemini-2.5-pro,datetime_query,True,371,3
10150,noisy,google/gemini-2.5-pro,cooking_recipe,True,367,3
10156,noisy,google/gemini-2.5-pro,cooking_recipe,True,372,3
10164,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10166,noisy,google/gemini-2.5-pro,cooking_recipe,True,368,3
10171,noisy,google/gemini-2.5-pro,cooking_recipe,True,369,3
10177,noisy,google/gemini-2.5-pro,lists_createoradd,True,365,5
10182,noisy,google/gemini-2.5-pro,cooking_recipe,True,373,3
10197,noisy,google/gemini-2.5-pro,cooking_recipe,True,370,3
102,noisy,google/gemini-2.5-pro,weather_query,True,371,3
10206,noisy,google/gemini-2.5-pro,cooking_recipe,True,367,3
10213,noisy,google/gemini-2.5-pro,cooking_recipe,True,368,3
10214,noisy,google/gemini-2.5-pro,cooking_recipe,True,371,3
10216,noisy,google/gemini-2.5-pro,query,True,371,1
10217,noisy,google/gemini-2.5-pro,cooking_recipe,True,372,3
10220,noisy,google/gemini-2.5-pro,cooking_recipe,True,373,3
10224,noisy,google/gemini-2.5-pro,general_quirky,True,367,4
10226,noisy,google/gemini-2.5-pro,cooking_recipe,True,371,3
10247,noisy,google/gemini-2.5-pro,play_game,True,367,3
10256,noisy,google/gemini-2.5-pro,play_game,True,365,3
10260,noisy,google/gemini-2.5-pro,play_game,True,368,3
10263,noisy,google/gemini-2.5-pro,general_quirky,True,370,4
10268,noisy,google/gemini-2.5-pro,play_radio,True,372,3
10276,noisy,google/gemini-2.5-pro,music_settings,True,372,3
10285,noisy,google/gemini-2.5-pro,play_game,True,368,3
10286,noisy,google/gemini-2.5-pro,play_game,True,368,3
10288,noisy,google/gemini-2.5-pro,play_game,True,373,3
10292,noisy,google/gemini-2.5-pro,play_game,True,368,3
10296,noisy,google/gemini-2.5-pro,play_game,True,373,3
103,noisy,google/gemini-2.5-pro,weather_query,True,369,3
1030,noisy,google/gemini-2.5-pro,iot_hue_lightdim,True,370,6
10302,noisy,google/gemini-2.5-pro,play_game,True,364,3
10308,noisy,google/gemini-2.5-pro,play_game,True,366,3
10317,noisy,google/gemini-2.5-pro,play_game,True,371,3
10319,noisy,google/gemini-2.5-pro,play_game,True,366,3
10321,noisy,google/gemini-2.5-pro,play_game,True,371,3
10323,noisy,google/gemini-2.5-pro,game,True,367,1
10333,noisy,google/gemini-2.5-pro,play_game,True,365,3
10335,noisy,google/gemini-2.5-pro,play_game,True,370,3
10338,noisy,google/gemini-2.5-pro,play_game,True,375,3
10339,noisy,google/gemini-2.5-pro,play_game,True,375,3
10346,noisy,google/gemini-2.5-pro,play_game,True,370,3
10349,noisy,google/gemini-2.5-pro,play_game,True,376,3
