clip_id,condition,model_name,predicted_intent,is_valid,prompt_tokens,completion_tokens
0,clean,google/gemini-2.5-pro,alarm_set,True,372,3
100,clean,google/gemini-2.5-pro,weather_query,True,371,3
10016,clean,google/gemini-2.5-pro,cooking_recipe,True,372,3
10019,clean,google/gemini-2.5-pro,cooking_recipe,True,376,3
10023,clean,google/gemini-2.5-pro,cooking_recipe,True,372,3
10027,clean,google/gemini-2.5-pro,email_query,True,368,3
10031,clean,google/gemini-2.5-pro,cooking_recipe,True,375,3
10038,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10045,clean,google/gemini-2.5-pro,cooking_recipe,True,374,3
10048,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10049,clean,google/gemini-2.5-pro,cooking_recipe,True,372,3
10053,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10055,clean,google/gemini-2.5-pro,cooking_recipe,True,370,3
10061,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
1007,clean,google/gemini-2.5-pro,play_music,True,369,3
10072,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10076,clean,google/gemini-2.5-pro,qa_factoid,True,371,4
10077,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10078,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10080,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10081,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10090,clean,google/gemini-2.5-pro,cooking_recipe,True,370,3
10093,clean,google/gemini-2.5-pro,cooking_recipe,True,367,3
10097,clean,google/gemini-2.5-pro,query,True,371,1
10099,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10100,clean,google/gemini-2.5-pro,cooking_recipe,True,370,3
10105,clean,google/gemini-2.5-pro,cooking_recipe,True,374,3
10107,clean,google/gemini-2.5-pro,cooking_recipe,True,371,3
10119,clean,google/gemini-2.5-pro,cooking_recipe,True,374,3
10125,clean,google/gemini-2.5-pro,qa_definition,True,370,3
10132,clean,google/gemini-2.5-pro,cooking_recipe,True,373,3
1014,clean,google/gemini-2.5-pro,datetime_query,True,371,3
10150,clean,google/gemini-2.5-pro,cooking_recipe,True,367,3
10156,clean,google/gemini-2.5-pro,cooking_recipe,True,372,3
10164,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10166,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10171,clean,google/gemini-2.5-pro,cooking_recipe,True,369,3
10177,clean,google/gemini-2.5-pro,cooking_recipe,True,367,3
10182,clean,google/gemini-2.5-pro,cooking_recipe,True,373,3
10197,clean,google/gemini-2.5-pro,cooking_recipe,True,370,3
102,clean,google/gemini-2.5-pro,weather_query,True,371,3
10206,clean,google/gemini-2.5-pro,cooking_recipe,True,367,3
10213,clean,google/gemini-2.5-pro,cooking_recipe,True,368,3
10214,clean,google/gemini-2.5-pro,cooking_recipe,True,371,3
10216,clean,google/gemini-2.5-pro,query,True,372,1
10217,clean,google/gemini-2.5-pro,cooking_recipe,True,372,3
10220,clean,google/gemini-2.5-pro,cooking_recipe,True,373,3
10224,clean,google/gemini-2.5-pro,general_quirky,True,367,4
10226,clean,google/gemini-2.5-pro,cooking_recipe,True,371,3
10247,clean,google/gemini-2.5-pro,play_game,True,368,3
10256,clean,google/gemini-2.5-pro,play_game,True,365,3
10260,clean,google/gemini-2.5-pro,play_game,True,368,3
10263,clean,google/gemini-2.5-pro,general_quirky,True,370,4
10268,clean,google/gemini-2.5-pro,play_radio,True,374,3
10276,clean,google/gemini-2.5-pro,play_music,True,372,3
10285,clean,google/gemini-2.5-pro,play_game,True,368,3
10286,clean,google/gemini-2.5-pro,play_game,True,368,3
10288,clean,google/gemini-2.5-pro,play_game,True,373,3
10292,clean,google/gemini-2.5-pro,play_game,True,368,3
10296,clean,google/gemini-2.5-pro,play_game,True,373,3
103,clean,google/gemini-2.5-pro,weather_query,True,369,3
1030,clean,google/gemini-2.5-pro,iot_hue_lightdim,True,370,6
10302,clean,google/gemini-2.5-pro,play_game,True,364,3
10308,clean,google/gemini-2.5-pro,play_game,True,367,3
10317,clean,google/gemini-2.5-pro,play_game,True,371,3
10319,clean,google/gemini-2.5-pro,play_game,True,367,3
10321,clean,google/gemini-2.5-pro,play_game,True,371,3
10323,clean,google/gemini-2.5-pro,play_game,True,367,3
10333,clean,google/gemini-2.5-pro,play_game,True,366,3
10335,clean,google/gemini-2.5-pro,transport_query,True,369,3
10338,clean,google/gemini-2.5-pro,play_game,True,375,3
10339,clean,google/gemini-2.5-pro,play_game,True,375,3
10346,clean,google/gemini-2.5-pro,play_game,True,370,3
10349,clean,google/gemini-2.5-pro,play_game,True,376,3
10350,clean,google/gemini-2.5-pro,transport_traffic,True,367,3
10352,clean,google/gemini-2.5-pro,play_game,True,366,3
10353,clean,google/gemini-2.5-pro,play_game,True,368,3
10355,clean,google/gemini-2.5-pro,play_game,True,365,3
10357,clean,google/gemini-2.5-pro,play_game,True,364,3
10365,clean,google/gemini-2.5-pro,play_game,True,371,3
10366,clean,google/gemini-2.5-pro,play_game,True,370,3
10381,clean,google/gemini-2.5-pro,play_game,True,369,3
10399,clean,google/gemini-2.5-pro,play_game,True,369,3
10403,clean,google/gemini-2.5-pro,play_game,True,364,3
10406,clean,google/gemini-2.5-pro,play_game,True,370,3
1042,clean,google/gemini-2.5-pro,query,True,369,1
